DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
vaginal,Gardnerella,"Colonization of the vaginal space with bacteria such as Gardnerella vaginalis and Mobiluncus mulieris is associated with increased risk for STIs, bacterial vaginosis, and preterm birth, while Lactobacillus crispatus is associated with optimal reproductive health.",What is the relation between vaginal and Gardnerella?,positive
vaginal,Mobiluncus,"Colonization of the vaginal space with bacteria such as Gardnerella vaginalis and Mobiluncus mulieris is associated with increased risk for STIs, bacterial vaginosis, and preterm birth, while Lactobacillus crispatus is associated with optimal reproductive health.",What is the relation between vaginal and Mobiluncus?,positive
Cd,actinobacteria,"The relative abundance analysis indicated 伪-proteobacteria (37%) and actinobacteria (31%) were dominant in Cd/Pb polluted soils, while 纬-proteobacteria (40%) and 伪-proteobacteria (22%) were dominant in unpolluted soils.",What is the relation between Cd and actinobacteria?,positive
Cd,proteobacteria,"The relative abundance analysis indicated 伪-proteobacteria (37%) and actinobacteria (31%) were dominant in Cd/Pb polluted soils, while 纬-proteobacteria (40%) and 伪-proteobacteria (22%) were dominant in unpolluted soils.",What is the relation between Cd and proteobacteria?,positive
mastitis,Sphingomonas,RESULTS: The results showed that Ralstonia and Sphingomonas were enriched in cows with subclinical mastitis.,What is the relation between mastitis and Sphingomonas?,positive
mastitis,Ralstonia,RESULTS: The results showed that Ralstonia and Sphingomonas were enriched in cows with subclinical mastitis.,What is the relation between mastitis and Ralstonia?,positive
mastitis,Sphingomonas,CONCLUSION: These results reveal the relative abundance of Ralstonia and Sphingomonas other than common mastitis-causing pathogens varied from healthy cows to those with subclinical mastitis and might be associated with elevated SCCs.,What is the relation between mastitis and Sphingomonas?,relate
mastitis,Ralstonia,CONCLUSION: These results reveal the relative abundance of Ralstonia and Sphingomonas other than common mastitis-causing pathogens varied from healthy cows to those with subclinical mastitis and might be associated with elevated SCCs.,What is the relation between mastitis and Ralstonia?,relate
acne,Cyanobacterium,"And then, MVMR was used to analyze seven gut microbes, and it was found that Cyanobacterium and Family XIII were risk factors for acne vulgaris, while Ruminococcus1 and Ruminiclostridium5 were protective factors for acne vulgaris.",What is the relation between acne and Cyanobacterium?,positive
RA,Staphylococcus,"Here, we provided evidence that RA boosts neutrophil killing of methicillin-resistant Staphylococcus aureus (MRSA).",What is the relation between RA and Staphylococcus?,positive
RA,Pseudomonas aeruginosa,"RA did not affect the growth of a number of common bacterial pathogens, including MRSA, Escherichia coli K1 and Pseudomonas aeruginosa; however, RA directly inhibited the growth of group A Streptococcus (GAS).",What is the relation between RA and Pseudomonas aeruginosa?,positive
RA,Escherichia coli,"RA did not affect the growth of a number of common bacterial pathogens, including MRSA, Escherichia coli K1 and Pseudomonas aeruginosa; however, RA directly inhibited the growth of group A Streptococcus (GAS).",What is the relation between RA and Escherichia coli?,positive
RA,Streptococcus,"RA did not affect the growth of a number of common bacterial pathogens, including MRSA, Escherichia coli K1 and Pseudomonas aeruginosa; however, RA directly inhibited the growth of group A Streptococcus (GAS).",What is the relation between RA and Streptococcus?,positive
RA,Escherichia,"RA did not affect the growth of a number of common bacterial pathogens, including MRSA, Escherichia coli K1 and Pseudomonas aeruginosa; however, RA directly inhibited the growth of group A Streptococcus (GAS).",What is the relation between RA and Escherichia?,positive
RA,Pseudomonas,"RA did not affect the growth of a number of common bacterial pathogens, including MRSA, Escherichia coli K1 and Pseudomonas aeruginosa; however, RA directly inhibited the growth of group A Streptococcus (GAS).",What is the relation between RA and Pseudomonas?,positive
AD,archaea,"Overall, the rapid degradation of MO and enhanced CH4 production in AD systems by Fe, N-BC is associated with enhancing two electronic pathways, i.e., microbes to MO and DIET between syntrophic bacteria and methanogenic archaea.",What is the relation between AD and archaea?,negative
MS,Allorhizobium,"In this study, we investigated the colonization patterns of two plant disease biocontrol agents, Allorhizobium vitis VAR03-1 and Pseudomonas protegens Cab57, in the rhizosphere of Arabidopsis thaliana using Murashige and Skoog (MS) agar medium.",What is the relation between MS and Allorhizobium?,relate
MS,Pseudomonas,"In this study, we investigated the colonization patterns of two plant disease biocontrol agents, Allorhizobium vitis VAR03-1 and Pseudomonas protegens Cab57, in the rhizosphere of Arabidopsis thaliana using Murashige and Skoog (MS) agar medium.",What is the relation between MS and Pseudomonas?,relate
tuberculosis,Citrobacter rodentium,"Here, we review the relationship between autophagy and important mucosal pathogens, including influenza virus, Mycobacterium tuberculosis, Salmonella enterica, Citrobacter rodentium, norovirus, and herpes simplex virus, with a particular focus on distinguishing the canonical versus gene-specific mechanisms of autophagy genes.",What is the relation between tuberculosis and Citrobacter rodentium?,relate
tuberculosis,Mycobacterium,"Here, we review the relationship between autophagy and important mucosal pathogens, including influenza virus, Mycobacterium tuberculosis, Salmonella enterica, Citrobacter rodentium, norovirus, and herpes simplex virus, with a particular focus on distinguishing the canonical versus gene-specific mechanisms of autophagy genes.",What is the relation between tuberculosis and Mycobacterium?,relate
tuberculosis,Citrobacter,"Here, we review the relationship between autophagy and important mucosal pathogens, including influenza virus, Mycobacterium tuberculosis, Salmonella enterica, Citrobacter rodentium, norovirus, and herpes simplex virus, with a particular focus on distinguishing the canonical versus gene-specific mechanisms of autophagy genes.",What is the relation between tuberculosis and Citrobacter?,relate
tuberculosis,Salmonella,"Here, we review the relationship between autophagy and important mucosal pathogens, including influenza virus, Mycobacterium tuberculosis, Salmonella enterica, Citrobacter rodentium, norovirus, and herpes simplex virus, with a particular focus on distinguishing the canonical versus gene-specific mechanisms of autophagy genes.",What is the relation between tuberculosis and Salmonella?,relate
influenza,Citrobacter rodentium,"Here, we review the relationship between autophagy and important mucosal pathogens, including influenza virus, Mycobacterium tuberculosis, Salmonella enterica, Citrobacter rodentium, norovirus, and herpes simplex virus, with a particular focus on distinguishing the canonical versus gene-specific mechanisms of autophagy genes.",What is the relation between influenza and Citrobacter rodentium?,relate
influenza,Mycobacterium,"Here, we review the relationship between autophagy and important mucosal pathogens, including influenza virus, Mycobacterium tuberculosis, Salmonella enterica, Citrobacter rodentium, norovirus, and herpes simplex virus, with a particular focus on distinguishing the canonical versus gene-specific mechanisms of autophagy genes.",What is the relation between influenza and Mycobacterium?,relate
influenza,Citrobacter,"Here, we review the relationship between autophagy and important mucosal pathogens, including influenza virus, Mycobacterium tuberculosis, Salmonella enterica, Citrobacter rodentium, norovirus, and herpes simplex virus, with a particular focus on distinguishing the canonical versus gene-specific mechanisms of autophagy genes.",What is the relation between influenza and Citrobacter?,relate
influenza,Salmonella,"Here, we review the relationship between autophagy and important mucosal pathogens, including influenza virus, Mycobacterium tuberculosis, Salmonella enterica, Citrobacter rodentium, norovirus, and herpes simplex virus, with a particular focus on distinguishing the canonical versus gene-specific mechanisms of autophagy genes.",What is the relation between influenza and Salmonella?,relate
ten,Lactobacillus,"In this study, the succession of the microbial community was analyzed by high-throughput sequencing technology, and ten core microbes of Xiaoqu light-aroma Baijiu were obtained by mathematical statistics, including Acetobacter, Bacillus, Lactobacillus, Weissella, Pichia,Rhizopus, Wickerhamomyces, Issatchenkia, Saccharomyces, and Kazachstania.",What is the relation between ten and Lactobacillus?,relate
ten,Acetobacter,"In this study, the succession of the microbial community was analyzed by high-throughput sequencing technology, and ten core microbes of Xiaoqu light-aroma Baijiu were obtained by mathematical statistics, including Acetobacter, Bacillus, Lactobacillus, Weissella, Pichia,Rhizopus, Wickerhamomyces, Issatchenkia, Saccharomyces, and Kazachstania.",What is the relation between ten and Acetobacter?,relate
ten,Weissella,"In this study, the succession of the microbial community was analyzed by high-throughput sequencing technology, and ten core microbes of Xiaoqu light-aroma Baijiu were obtained by mathematical statistics, including Acetobacter, Bacillus, Lactobacillus, Weissella, Pichia,Rhizopus, Wickerhamomyces, Issatchenkia, Saccharomyces, and Kazachstania.",What is the relation between ten and Weissella?,relate
ten,Bacillus,"In this study, the succession of the microbial community was analyzed by high-throughput sequencing technology, and ten core microbes of Xiaoqu light-aroma Baijiu were obtained by mathematical statistics, including Acetobacter, Bacillus, Lactobacillus, Weissella, Pichia,Rhizopus, Wickerhamomyces, Issatchenkia, Saccharomyces, and Kazachstania.",What is the relation between ten and Bacillus?,relate
