DIETARY,MICROBE,EVIDENCE,QUESTIONS,RELATION
Resistant starches,Ruminoccocus bromii,"For example, administration of Resistant starcheshas been shown to enrich Bifidobacterium adolescentis, Ruminoccocus bromii, Eubacterium rectale, and Parabacteroides distasonis in a subset of individuals dependent on Resistant starches",What is the relationship between Resistant starches and Ruminoccocus bromii?,positive
Resistant starches,Eubacterium rectale(Agathobacter rectalis),"For example, administration of Resistant starcheshas been shown to enrich Bifidobacterium adolescentis, Ruminoccocus bromii, Eubacterium rectale, and Parabacteroides distasonis in a subset of individuals dependent on Resistant starches",What is the relationship between Resistant starches and Eubacterium rectale(Agathobacter rectalis)?,positive
Resistant starches,Parabacteroides distasonis,"For example, administration of Resistant starcheshas been shown to enrich Bifidobacterium adolescentis, Ruminoccocus bromii, Eubacterium rectale, and Parabacteroides distasonis in a subset of individuals dependent on Resistant starches",What is the relationship between Resistant starches and Parabacteroides distasonis?,positive
tea polyphenols,E. coli,"Lee et al. (Citation2006) reported inhibition of most tested bacteria, in particular pathogenic E. coli, S. typhimurium and C. perfringens, by tea polyphenols, and their derivatives.",What is the relationship between tea polyphenols and E. coli?,negative
tea polyphenols,S. typhimurium,"Lee et al. (Citation2007) reported inhibition of most tested bacteria, in particular pathogenic E. coli, S. typhimurium and C. perfringens, by tea polyphenols, and their derivatives.",What is the relationship between tea polyphenols and S. typhimurium?,negative
tea polyphenols,C. perfringens(Clostridium perfringens),"Lee et al. (Citation2008) reported inhibition of most tested bacteria, in particular pathogenic E. coli, S. typhimurium and C. perfringens, by tea polyphenols, and their derivatives.",What is the relationship between tea polyphenols and C. perfringens(Clostridium perfringens)?,negative
green tea extracts,L. monocytogenes,"In another similar study, green tea extracts were also shown to inhibit growths of several strains of bacterial pathogens, including L. monocytogenes, P. aeruginosa, S. aureus and B. cereus (Sourabh et al. Citation2013).",What is the relationship between green tea extracts and L. monocytogenes?,negative
green tea extracts,P. aeruginosa,"In another similar study, green tea extracts were also shown to inhibit growths of several strains of bacterial pathogens, including L. monocytogenes, P. aeruginosa, S. aureus and B. cereus (Sourabh et al. Citation2014).",What is the relationship between green tea extracts and P. aeruginosa?,negative
green tea extracts,S. aureus,"In another similar study, green tea extracts were also shown to inhibit growths of several strains of bacterial pathogens, including L. monocytogenes, P. aeruginosa, S. aureus and B. cereus (Sourabh et al. Citation2015).",What is the relationship between green tea extracts and S. aureus?,negative
green tea extracts,B. cereus,"In another similar study, green tea extracts were also shown to inhibit growths of several strains of bacterial pathogens, including L. monocytogenes, P. aeruginosa, S. aureus and B. cereus (Sourabh et al. Citation2016).",What is the relationship between green tea extracts and B. cereus?,negative
blueberries,Listeria monocytogenes,"Several studies found that phenolic compounds in blueberries, such as quercetin and chlorogenic acid, can inhibit growth of several pathogens, including Listeria monocytogenes, Salmonella enteritidis, H. pylori, Bacillus cereus, etc.",What is the relationship between blueberries and Listeria monocytogenes?,negative
blueberries,Salmonella enteritidis,"Several studies found that phenolic compounds in blueberries, such as quercetin and chlorogenic acid, can inhibit growth of several pathogens, including Listeria monocytogenes, Salmonella enteritidis, H. pylori, Bacillus cereus, etc.",What is the relationship between blueberries and Salmonella enteritidis?,negative
blueberries,H. pylori,"Several studies found that phenolic compounds in blueberries, such as quercetin and chlorogenic acid, can inhibit growth of several pathogens, including Listeria monocytogenes, Salmonella enteritidis, H. pylori, Bacillus cereus, etc.",What is the relationship between blueberries and H. pylori?,negative
blueberries,Bacillus cereus,"Several studies found that phenolic compounds in blueberries, such as quercetin and chlorogenic acid, can inhibit growth of several pathogens, including Listeria monocytogenes, Salmonella enteritidis, H. pylori, Bacillus cereus, etc.",What is the relationship between blueberries and Bacillus cereus?,negative
red wine,Enterococcus,"Another in vivo experiment showed that 4-week consumption of red wine polyphenols resulted in a significant increase in Enterococcus, Prevotella, Bacteroides, Bifidobacterium spp., and Blautia coccoides–Eubacterium rectale groups (Queipo-Ortuño et al. Citation2012)",What is the relationship between red wine and Enterococcus?,positive
red wine,Prevotella,"Another in vivo experiment showed that 4-week consumption of red wine polyphenols resulted in a significant increase in Enterococcus, Prevotella, Bacteroides, Bifidobacterium spp., and Blautia coccoides–Eubacterium rectale groups (Queipo-Ortuño et al. Citation2013)",What is the relationship between red wine and Prevotella?,positive
red wine,Bacteroides,"Another in vivo experiment showed that 4-week consumption of red wine polyphenols resulted in a significant increase in Enterococcus, Prevotella, Bacteroides, Bifidobacterium spp., and Blautia coccoides–Eubacterium rectale groups (Queipo-Ortuño et al. Citation2014)",What is the relationship between red wine and Bacteroides?,positive
red wine,Bifidobacterium spp.(Bifidobacterium sp.),"Another in vivo experiment showed that 4-week consumption of red wine polyphenols resulted in a significant increase in Enterococcus, Prevotella, Bacteroides, Bifidobacterium spp., and Blautia coccoides–Eubacterium rectale groups (Queipo-Ortuño et al. Citation2015)",What is the relationship between red wine and Bifidobacterium spp.(Bifidobacterium sp.)?,positive
red wine,Clostridium spp.(Clostridium sp.),This finding is in line with a recent in vitro study where Clostridium spp. was decreased after inoculation with red wine extracts (Sánchez-Patán et al. Citation2012).,What is the relationship between red wine and Clostridium spp.(Clostridium sp.)?,negative
indigestible carbohydrate diets rich in whole grain and wheat bran,Bifidobacterium spp.(Bifidobacterium sp.),"Thus, indigestible carbohydrate diets rich in whole grain and wheat bran are associated with an increase of Bifidobacterium spp. and Lactobacillus spp., whereas resistant starch and whole grain barley may also increase lactic acid bacteria including Ruminococcus spp., Eubacterium rectale, and Roseburia spp.",What is the relationship between indigestible carbohydrate diets rich in whole grain and wheat bran and Bifidobacterium spp.(Bifidobacterium sp.)?,positive
indigestible carbohydrate diets rich in whole grain and wheat bran,Lactobacillus spp.,"Thus, indigestible carbohydrate diets rich in whole grain and wheat bran are associated with an increase of Bifidobacterium spp. and Lactobacillus spp., whereas resistant starch and whole grain barley may also increase lactic acid bacteria including Ruminococcus spp., Eubacterium rectale, and Roseburia spp.",What is the relationship between indigestible carbohydrate diets rich in whole grain and wheat bran and Lactobacillus spp.?,positive
Resistant starch and whole grain barley,Ruminococcus spp.(Ruminococcus sp.),"Thus, indigestible carbohydrate diets rich in whole grain and wheat bran are associated with an increase of Bifidobacterium spp. and Lactobacillus spp., whereas resistant starch and whole grain barley may also increase lactic acid bacteria including Ruminococcus spp., Eubacterium rectale, and Roseburia spp.",What is the relationship between Resistant starch and whole grain barley and Ruminococcus spp.(Ruminococcus sp.)?,positive
Resistant starch and whole grain barley,Eubacterium rectale(Agathobacter rectalis),"Thus, indigestible carbohydrate diets rich in whole grain and wheat bran are associated with an increase of Bifidobacterium spp. and Lactobacillus spp., whereas resistant starch and whole grain barley may also increase lactic acid bacteria including Ruminococcus spp., Eubacterium rectale, and Roseburia spp.",What is the relationship between Resistant starch and whole grain barley and Eubacterium rectale(Agathobacter rectalis)?,positive
Resistant starch and whole grain barley,Roseburia spp.(Roseburia sp.),"Thus, indigestible carbohydrate diets rich in whole grain and wheat bran are associated with an increase of Bifidobacterium spp. and Lactobacillus spp., whereas resistant starch and whole grain barley may also increase lactic acid bacteria including Ruminococcus spp., Eubacterium rectale, and Roseburia spp.",What is the relationship between Resistant starch and whole grain barley and Roseburia spp.(Roseburia sp.)?,positive
vegan diets,Bifidobacterium spp.(Bifidobacterium sp.),"Apart from fibers, polyphenols, which are also abundant in vegan diets, increase both Bifidobacterium spp. and Lactobacillus spp., providing cardiovascular protection as well as antibacterial and anti-inflammatory effects [26].",What is the relationship between vegan diets and Bifidobacterium spp.(Bifidobacterium sp.)?,positive
