DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
crohn's disease (CD),Bifidobacterium longum,"Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018).",What is the relationship between crohn's disease (CD) and Bifidobacterium longum?,negative
crohn's disease (CD),Roseburia intestinalis,"Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018).",What is the relationship between crohn's disease (CD) and Roseburia intestinalis?,negative
crohn's disease (CD),Bacteroides fragilis,"Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018).",What is the relationship between crohn's disease (CD) and Bacteroides fragilis?,positive
crohn's disease (CD),Eubacterium rectale,"Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018).",What is the relationship between crohn's disease (CD) and Eubacterium rectale?,negative
crohn's disease (CD),Faecalibacterium,"Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018).",What is the relationship between crohn's disease (CD) and Faecalibacterium?,negative
crohn's disease (CD),Bifidobacterium,"Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018).",What is the relationship between crohn's disease (CD) and Bifidobacterium?,negative
crohn's disease (CD),Eubacterium,"Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018).",What is the relationship between crohn's disease (CD) and Eubacterium?,negative
crohn's disease (CD),Bacteroides,"Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018).",What is the relationship between crohn's disease (CD) and Bacteroides?,negative
crohn's disease (CD),Roseburia,"Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018).",What is the relationship between crohn's disease (CD) and Roseburia?,negative
ulcerative colitis (UC),Faecalibacterium prausnitzii,"Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018).",What is the relationship between ulcerative colitis (UC) and Faecalibacterium prausnitzii?,negative
ulcerative colitis (UC),Bifidobacterium longum,"Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018).",What is the relationship between ulcerative colitis (UC) and Bifidobacterium longum?,negative
ulcerative colitis (UC),Roseburia intestinalis,"Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018).",What is the relationship between ulcerative colitis (UC) and Roseburia intestinalis?,negative
ulcerative colitis (UC),Bacteroides fragilis,"Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018).",What is the relationship between ulcerative colitis (UC) and Bacteroides fragilis?,positive
ulcerative colitis (UC),Eubacterium rectale,"Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018).",What is the relationship between ulcerative colitis (UC) and Eubacterium rectale?,negative
ulcerative colitis (UC),Faecalibacterium,"Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018).",What is the relationship between ulcerative colitis (UC) and Faecalibacterium?,negative
ulcerative colitis (UC),Bifidobacterium,"Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018).",What is the relationship between ulcerative colitis (UC) and Bifidobacterium?,negative
